Sasaran,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Total,Kumulatif
Kunjungan Wisman_2020,2285.0,2045.0,2237.0,2021.0,1608.0,2202.0,2228.0,2293.0,1737.0,1587.0,1708.0,2295.0,24246.0,24246.0
Kunjungan Wisman_2021,3112.0,2611.0,2728.0,3153.0,2722.0,3328.0,2565.0,3495.0,3495.0,3366.0,2526.0,2971.0,36072.0,60318.0
Kunjungan Wisman_2022,4037.0,3501.0,5123.0,6250.0,7032.0,6801.0,7200.0,7400.0,7800.0,8050.0,8800.0,4258.0,76252.0,136570.0
Tingkat Hunian Kamar (%)_2020,6229.0,5377.0,6538.5,7835.25,8087.25,8007.0,8287.25,8849.0,28.0,9094.25,9790.5,5953.0,28.0,136598.0
Tingkat Hunian Kamar (%)_2021,8421.0,7253.0,7954.0,9420.5,9142.5,9213.0,9374.5,10298.0,38.0,10138.5,10781.0,7648.0,38.0,136636.0
Tingkat Hunian Kamar (%)_2022,10613.0,9129.0,9369.5,11005.75,10197.75,10419.0,10461.75,11747.0,50.26,11182.75,11771.5,9343.0,50.26,136686.26
Penumpang Laut Berangkat_2020,12805.0,11005.0,10785.0,12591.0,11253.0,11625.0,11549.0,13196.0,10993.0,12227.0,12762.0,11038.0,141829.0,278515.26
Penumpang Laut Berangkat_2021,13659.0,15609.0,16071.0,15284.0,15057.0,16077.0,14467.0,16039.0,15046.0,15301.0,15848.0,16486.0,184944.0,463459.26
Penumpang Laut Berangkat_2022,15321.0,14788.0,16532.0,18014.0,19200.0,20500.0,21500.0,22300.0,23500.0,16316.0,8142.0,8426.0,187971.0,651430.26
Pesawat Berangkat_2020,414.0,408.0,428.0,366.0,376.0,362.0,410.0,421.0,435.0,356.0,436.0,366.0,4778.0,656208.26
Pesawat Berangkat_2021,484.0,406.0,487.0,430.0,441.0,456.0,482.0,472.0,446.0,464.0,431.0,443.0,5442.0,661650.26
Pesawat Berangkat_2022,445.0,430.0,450.0,465.0,470.0,480.0,490.0,500.0,510.0,533.0,429.0,412.0,4773.0,666423.26
Pesawat Datang_2020,368.0,438.0,446.0,394.0,351.0,405.0,428.0,425.0,420.0,413.0,427.0,381.0,4896.0,671319.26
Pesawat Datang_2021,432.0,405.0,422.0,401.0,455.0,467.0,451.0,475.0,464.0,405.0,417.0,448.0,5242.0,676561.26
Pesawat Datang_2022,441.0,429.0,452.0,467.0,472.0,482.0,493.0,502.0,518.0,533.0,417.0,448.0,4789.0,681350.26
Penumpang Speedboat_2020,441.0,429.0,452.0,467.0,472.0,482.0,72674.0,65510.0,518.0,533.0,417.0,448.0,138184.0,819534.26
Penumpang Speedboat_2021,441.0,429.0,452.0,467.0,472.0,482.0,72546.0,73970.0,518.0,533.0,417.0,448.0,146516.0,966050.26
Penumpang Speedboat_2022,441.0,429.0,452.0,467.0,472.0,482.0,80253.0,67221.0,518.0,533.0,417.0,448.0,147474.0,1113524.26
